SRR,sample,condition,group_or_time_point,batch,biol_rep,tech_rep,run,library_layout,read_length
none,A1,active_Btgh,1,1,1,1,1,PAIRED - ,40
none,A10,active_Btgh,1,1,10,1,1,PAIRED - ,40
none,A2,active_Btgh,1,1,2,1,1,PAIRED - ,40
none,A24,active_Btgh,1,1,11,1,1,PAIRED - ,40
none,A25,active_Btgh,1,1,12,1,1,PAIRED - ,40
none,A26,active_Btgh,1,1,13,1,1,PAIRED - ,40
none,A27,active_Btgh,1,1,14,1,1,PAIRED - ,40
none,A28,active_Btgh,1,1,15,1,1,PAIRED - ,40
none,A29,active_Btgh,1,1,16,1,1,PAIRED - ,40
none,A3,active_Btgh,1,1,3,1,1,PAIRED - ,40
none,A4,active_Btgh,1,1,4,1,1,PAIRED - ,40
none,A5,active_Btgh,1,1,5,1,1,PAIRED - ,40
none,A6,active_Btgh,1,1,6,1,1,PAIRED - ,40
none,A7,active_Btgh,1,1,7,1,1,PAIRED - ,40
none,A8,active_Btgh,1,1,8,1,1,PAIRED - ,40
none,A9,active_Btgh,1,1,9,1,1,PAIRED - ,40
none,C1,non_injected,1,1,1,1,1,PAIRED - ,40
none,C10,non_injected,1,1,10,1,1,PAIRED - ,40
none,C19,non_injected,1,1,11,1,1,PAIRED - ,40
none,C2,non_injected,1,1,2,1,1,PAIRED - ,40
none,C20,non_injected,1,1,12,1,1,PAIRED - ,40
none,C21,non_injected,1,1,13,1,1,PAIRED - ,40
none,C22,non_injected,1,1,14,1,1,PAIRED - ,40
none,C23,non_injected,1,1,15,1,1,PAIRED - ,40
none,C24,non_injected,1,1,16,1,1,PAIRED - ,40
none,C3,non_injected,1,1,3,1,1,PAIRED - ,40
none,C4,non_injected,1,1,4,1,1,PAIRED - ,40
none,C5,non_injected,1,1,5,1,1,PAIRED - ,40
none,C6,non_injected,1,1,6,1,1,PAIRED - ,40
none,C7,non_injected,1,1,7,1,1,PAIRED - ,40
none,C8,non_injected,1,1,8,1,1,PAIRED - ,40
none,C9,non_injected,1,1,9,1,1,PAIRED - ,40
none,D10,dead_Btgh,1,1,9,1,1,PAIRED - ,40
none,D11,dead_Btgh,1,1,10,1,1,PAIRED - ,40
none,D19,dead_Btgh,1,1,11,1,1,PAIRED - ,40
none,D2,dead_Btgh,1,1,1,1,1,PAIRED - ,40
none,D20,dead_Btgh,1,1,12,1,1,PAIRED - ,40
none,D21,dead_Btgh,1,1,13,1,1,PAIRED - ,40
none,D22,dead_Btgh,1,1,14,1,1,PAIRED - ,40
none,D23,dead_Btgh,1,1,15,1,1,PAIRED - ,40
none,D24,dead_Btgh,1,1,16,1,1,PAIRED - ,40
none,D3,dead_Btgh,1,1,2,1,1,PAIRED - ,40
none,D4,dead_Btgh,1,1,3,1,1,PAIRED - ,40
none,D5,dead_Btgh,1,1,4,1,1,PAIRED - ,40
none,D6,dead_Btgh,1,1,5,1,1,PAIRED - ,40
none,D7,dead_Btgh,1,1,6,1,1,PAIRED - ,40
none,D8,dead_Btgh,1,1,7,1,1,PAIRED - ,40
none,D9,dead_Btgh,1,1,8,1,1,PAIRED - ,40
none,A31,active_Btgh,1,2,17,1,1,PAIRED - ,40
none,A32,active_Btgh,1,2,18,1,1,PAIRED - ,40
none,A33,active_Btgh,1,2,19,1,1,PAIRED - ,40
none,A34,active_Btgh,1,2,20,1,1,PAIRED - ,40
none,A35,active_Btgh,1,2,21,1,1,PAIRED - ,40
none,A36,active_Btgh,1,2,22,1,1,PAIRED - ,40
none,A37,active_Btgh,1,2,23,1,1,PAIRED - ,40
none,A38,active_Btgh,1,2,24,1,1,PAIRED - ,40
none,A39,active_Btgh,1,2,25,1,1,PAIRED - ,40
none,A40,active_Btgh,1,2,26,1,1,PAIRED - ,40
none,A52,active_Btgh,1,2,27,1,1,PAIRED - ,40
none,A53,active_Btgh,1,2,28,1,1,PAIRED - ,40
none,A54,active_Btgh,1,2,29,1,1,PAIRED - ,40
none,A55,active_Btgh,1,2,30,1,1,PAIRED - ,40
none,A56,active_Btgh,1,2,31,1,1,PAIRED - ,40
none,A57,active_Btgh,1,2,32,1,1,PAIRED - ,40
none,C25,non_injected,1,2,17,1,1,PAIRED - ,40
none,C26,non_injected,1,2,18,1,1,PAIRED - ,40
none,C27,non_injected,1,2,19,1,1,PAIRED - ,40
none,C28,non_injected,1,2,20,1,1,PAIRED - ,40
none,C29,non_injected,1,2,21,1,1,PAIRED - ,40
none,C30,non_injected,1,2,22,1,1,PAIRED - ,40
none,C31,non_injected,1,2,23,1,1,PAIRED - ,40
none,C32,non_injected,1,2,24,1,1,PAIRED - ,40
none,C33,non_injected,1,2,25,1,1,PAIRED - ,40
none,C34,non_injected,1,2,26,1,1,PAIRED - ,40
none,C40,non_injected,1,2,27,1,1,PAIRED - ,40
none,C41,non_injected,1,2,28,1,1,PAIRED - ,40
none,C42,non_injected,1,2,29,1,1,PAIRED - ,40
none,C43,non_injected,1,2,30,1,1,PAIRED - ,40
none,C44,non_injected,1,2,31,1,1,PAIRED - ,40
none,C45,non_injected,1,2,32,1,1,PAIRED - ,40
none,D25,dead_Btgh,1,2,17,1,1,PAIRED - ,40
none,D26,dead_Btgh,1,2,18,1,1,PAIRED - ,40
none,D27,dead_Btgh,1,2,19,1,1,PAIRED - ,40
none,D28,dead_Btgh,1,2,20,1,1,PAIRED - ,40
none,D29,dead_Btgh,1,2,21,1,1,PAIRED - ,40
none,D30,dead_Btgh,1,2,22,1,1,PAIRED - ,40
none,D31,dead_Btgh,1,2,23,1,1,PAIRED - ,40
none,D32,dead_Btgh,1,2,24,1,1,PAIRED - ,40
none,D33,dead_Btgh,1,2,25,1,1,PAIRED - ,40
none,D34,dead_Btgh,1,2,26,1,1,PAIRED - ,40
none,D38,dead_Btgh,1,2,27,1,1,PAIRED - ,40
none,D39,dead_Btgh,1,2,28,1,1,PAIRED - ,40
none,D40,dead_Btgh,1,2,29,1,1,PAIRED - ,40
none,D41,dead_Btgh,1,2,30,1,1,PAIRED - ,40
none,D42,dead_Btgh,1,2,31,1,1,PAIRED - ,40
none,D43,dead_Btgh,1,2,32,1,1,PAIRED - ,40
