subunit_index gene_name subunit
L3 Rpl3 L
L4 Rpl4 L
L5 Rpl5 L
L6 Rpl6 L
L7 Rpl7 L
L7A Rpl7a L
L8 Rpl8 L
L9 Rpl9 L
L10 Rpl10 L
L10A Rpl10a L
L11 Rpl11 L
L12 Rpl12 L
L13 Rpl13 L
L13A Rpl13a L
L14 Rpl14 L
L15 Rpl15 L
L17 Rpl17 L
L18 Rpl18 L
L18A Rpl18a L
L19 Rpl19 L
L21 Rpl21 L
L22 Rpl22 L
L23 Rpl23 L
L23A Rpl23a L
L24 Rpl24 L
L26 Rpl26 L
L27 Rpl27 L
L27A Rpl27a L
L28 Rpl28 L
L29 Rpl29 L
L30 Rpl30 L
L31 Rpl31 L
L32 Rpl32 L
L34 Rpl34 L
L35 Rpl35 L
L35A Rpl35a L
L36 Rpl36 L
L36A Rpl44 L
L37 Rpl37 L
L37A Rpl37a L
L38 Rpl38 L
L39 Rpl39 L
L40 Rpl40 L
L41 Rpl41 L
LP0 Rplp0 L
LP1 Rplp1 L
LP2 Rplp2 L
SA Rpsa S
S2 Rps2 S
S3 Rps3 S
S3A Rps3a S
S4 Rps4x S
S5 Rps5 S
S6 Rps6 S
S7 Rps7 S
S8 Rps8 S
S9 Rps9 S
S10 Rps10 S
S11 Rps11 S
S12 Rps12 S
S13 Rps13 S
S14 Rps14 S
S15 Rps15 S
S15A Rps15a S
S16 Rps16 S
S17 Rps17 S
S18 Rps18 S
S19 Rps19 S
S20 Rps20 S
S21 Rps21 S
S23 Rps23 S
S24 Rps24 S
S25 Rps25 S
S26 Rps26 S
S27 Rps27 S
S27A Rps27a S
S28 Rps28 S
S29 Rps29 S
S30 Rps30 S
