SRR,sample,condition,group_or_time_point,batch,biol_rep,tech_rep,run,library_layout,read_length
none,A4_EPI,active_Btgh,F,1,1,1,1,PAIRED - ,40
none,A6_EPI,active_Btgh,F,1,2,1,1,PAIRED - ,40
none,A8_EPI,active_Btgh,F,1,3,1,1,PAIRED - ,40
none,A19_EPI,active_Btgh,F,2,4,1,1,PAIRED - ,40
none,A1_EPI,active_Btgh,M,1,1,1,1,PAIRED - ,40
none,A3_EPI,active_Btgh,M,1,2,1,1,PAIRED - ,40
none,A5_EPI,active_Btgh,M,1,3,1,1,PAIRED - ,40
none,A11_EPI,active_Btgh,M,2,4,1,1,PAIRED - ,40
none,A17_EPI,active_Btgh,M,2,5,1,1,PAIRED - ,40
none,A18_EPI,active_Btgh,M,2,6,1,1,PAIRED - ,40
none,A22_EPI,active_Btgh,M,2,7,1,1,PAIRED - ,40
none,A14_EPI,active_Btgh,M,2,8,1,1,PAIRED - ,40
none,A16_EPI,active_Btgh,M,2,9,1,1,PAIRED - ,40
none,A4_TROPHO,active_Btgh,F,1,1,1,1,PAIRED - ,40
none,A6_TROPHO,active_Btgh,F,1,2,1,1,PAIRED - ,40
none,A8_TROPHO,active_Btgh,F,1,3,1,1,PAIRED - ,40
none,A12_TROPHO,active_Btgh,F,2,4,1,1,PAIRED - ,40
none,A19_TROPHO,active_Btgh,F,2,5,1,1,PAIRED - ,40
none,A1_TROPHO,active_Btgh,M,1,1,1,1,PAIRED - ,40
none,A3_TROPHO,active_Btgh,M,1,2,1,1,PAIRED - ,40
none,A5_TROPHO,active_Btgh,M,1,3,1,1,PAIRED - ,40
none,A11_TROPHO,active_Btgh,M,2,4,1,1,PAIRED - ,40
none,A13_TROPHO,active_Btgh,M,2,5,1,1,PAIRED - ,40
none,A17_TROPHO,active_Btgh,M,2,6,1,1,PAIRED - ,40
none,A18_TROPHO,active_Btgh,M,2,7,1,1,PAIRED - ,40
none,A22_TROPHO,active_Btgh,M,2,8,1,1,PAIRED - ,40
none,D4_EPI,dead_Btgh,F,1,1,1,1,PAIRED - ,40
none,D5_EPI,dead_Btgh,F,1,2,1,1,PAIRED - ,40
none,D12_EPI,dead_Btgh,F,1,3,1,1,PAIRED - ,40
none,D19_EPI,dead_Btgh,F,2,4,1,1,PAIRED - ,40
none,D21_EPI,dead_Btgh,F,2,5,1,1,PAIRED - ,40
none,D1_EPI,dead_Btgh,M,1,1,1,1,PAIRED - ,40
none,D2_EPI,dead_Btgh,M,1,2,1,1,PAIRED - ,40
none,D10_EPI,dead_Btgh,M,1,3,1,1,PAIRED - ,40
none,D20_EPI,dead_Btgh,M,2,4,1,1,PAIRED - ,40
none,D24_EPI,dead_Btgh,M,2,5,1,1,PAIRED - ,40
none,D22_EPI,dead_Btgh,M,2,6,1,1,PAIRED - ,40
none,D25_EPI,dead_Btgh,M,2,7,1,1,PAIRED - ,40
none,D4_TROPHO,dead_Btgh,F,1,1,1,1,PAIRED - ,40
none,D5_TROPHO,dead_Btgh,F,1,2,1,1,PAIRED - ,40
none,D12_TROPHO,dead_Btgh,F,1,3,1,1,PAIRED - ,40
none,D21_TROPHO,dead_Btgh,F,2,4,1,1,PAIRED - ,40
none,D27_TROPHO,dead_Btgh,F,2,5,1,1,PAIRED - ,40
none,D19_TROPHO,dead_Btgh,F,2,6,1,1,PAIRED - ,40
none,D1_TROPHO,dead_Btgh,M,1,1,1,1,PAIRED - ,40
none,D2_TROPHO,dead_Btgh,M,1,2,1,1,PAIRED - ,40
none,D10_TROPHO,dead_Btgh,M,1,3,1,1,PAIRED - ,40
none,D17_TROPHO,dead_Btgh,M,2,4,1,1,PAIRED - ,40
none,D18_TROPHO,dead_Btgh,M,2,5,1,1,PAIRED - ,40
none,D20_TROPHO,dead_Btgh,M,2,6,1,1,PAIRED - ,40
none,D24_TROPHO,dead_Btgh,M,2,7,1,1,PAIRED - ,40
