SRR,sample,condition,group_or_time_point,batch,biol_rep,tech_rep,run,library_layout,read_length
none,mD1,dead_Btgh,1,1,1,1,1,PAIRED - ,40
none,mD2,dead_Btgh,1,1,2,1,1,PAIRED - ,40
none,mD4,dead_Btgh,1,1,3,1,1,PAIRED - ,40
none,mD5,dead_Btgh,1,1,4,1,1,PAIRED - ,40
none,mD6,dead_Btgh,1,1,5,1,1,PAIRED - ,40
none,mD7,dead_Btgh,1,1,6,1,1,PAIRED - ,40
none,mD8,dead_Btgh,1,1,7,1,1,PAIRED - ,40
none,mD9,dead_Btgh,1,1,8,1,1,PAIRED - ,40
none,mD10,dead_Btgh,1,1,9,1,1,PAIRED - ,40
none,mD11,dead_Btgh,1,1,10,1,1,PAIRED - ,40
none,mD12,dead_Btgh,1,1,11,1,1,PAIRED - ,40
none,mD13,dead_Btgh,1,1,12,1,1,PAIRED - ,40
none,mD14,dead_Btgh,1,1,13,1,1,PAIRED - ,40
none,mD16,dead_Btgh,1,1,14,1,1,PAIRED - ,40
none,mD17,dead_Btgh,1,1,15,1,1,PAIRED - ,40
none,mD18,dead_Btgh,1,1,16,1,1,PAIRED - ,40
none,mD19,dead_Btgh,1,1,17,1,1,PAIRED - ,40
none,mD20,dead_Btgh,1,1,18,1,1,PAIRED - ,40
none,mA1,active_Btgh,1,1,1,1,1,PAIRED - ,40
none,mA2,active_Btgh,1,1,2,1,1,PAIRED - ,40
none,mA4,active_Btgh,1,1,3,1,1,PAIRED - ,40
none,mA5,active_Btgh,1,1,4,1,1,PAIRED - ,40
none,mA6,active_Btgh,1,1,5,1,1,PAIRED - ,40
none,mA7,active_Btgh,1,1,6,1,1,PAIRED - ,40
none,mA8,active_Btgh,1,1,7,1,1,PAIRED - ,40
none,mA9,active_Btgh,1,1,8,1,1,PAIRED - ,40
none,mA10,active_Btgh,1,1,9,1,1,PAIRED - ,40
none,mA11,active_Btgh,1,1,10,1,1,PAIRED - ,40
none,mA12,active_Btgh,1,1,11,1,1,PAIRED - ,40
none,mA13,active_Btgh,1,1,12,1,1,PAIRED - ,40
none,mA14,active_Btgh,1,1,13,1,1,PAIRED - ,40
none,mA16,active_Btgh,1,1,14,1,1,PAIRED - ,40
none,mA17,active_Btgh,1,1,15,1,1,PAIRED - ,40
none,mA18,active_Btgh,1,1,16,1,1,PAIRED - ,40
none,mA19,active_Btgh,1,1,17,1,1,PAIRED - ,40
none,mA20,active_Btgh,1,1,18,1,1,PAIRED - ,40
none,mA21,active_Btgh,1,1,19,1,1,PAIRED - ,40
none,mA22,active_Btgh,1,1,20,1,1,PAIRED - ,40
none,mA23,active_Btgh,1,1,21,1,1,PAIRED - ,40
none,mA24,active_Btgh,1,1,22,1,1,PAIRED - ,40
none,mC1,non_injected,1,1,1,1,1,PAIRED - ,40
none,mC2,non_injected,1,1,2,1,1,PAIRED - ,40
none,mC4,non_injected,1,1,3,1,1,PAIRED - ,40
none,mC5,non_injected,1,1,4,1,1,PAIRED - ,40
none,mC6,non_injected,1,1,5,1,1,PAIRED - ,40
none,mC7,non_injected,1,1,6,1,1,PAIRED - ,40
none,mC8,non_injected,1,1,7,1,1,PAIRED - ,40
none,mC9,non_injected,1,1,8,1,1,PAIRED - ,40
none,mC10,non_injected,1,1,9,1,1,PAIRED - ,40
none,mC11,non_injected,1,1,10,1,1,PAIRED - ,40
none,mC12,non_injected,1,1,11,1,1,PAIRED - ,40
none,mC13,non_injected,1,1,12,1,1,PAIRED - ,40
none,mC14,non_injected,1,1,13,1,1,PAIRED - ,40
none,mC16,non_injected,1,1,14,1,1,PAIRED - ,40
none,mC17,non_injected,1,1,15,1,1,PAIRED - ,40
none,mC18,non_injected,1,1,16,1,1,PAIRED - ,40
none,mC19,non_injected,1,1,17,1,1,PAIRED - ,40
none,mC20,non_injected,1,1,18,1,1,PAIRED - ,40
none,mC21,non_injected,1,1,19,1,1,PAIRED - ,40
none,mC22,non_injected,1,1,20,1,1,PAIRED - ,40
none,mC23,non_injected,1,1,21,1,1,PAIRED - ,40
none,mC24,non_injected,1,1,22,1,1,PAIRED - ,40
