SRR,sample,condition,group_or_time_point,batch,biol_rep,tech_rep,run,library_layout,read_length
SRR2927027,SRR2927027,wt,MII_oocyte,1,1,1,1,PAIRED - ,100
SRR2927026,SRR2927026,wt,MII_oocyte,1,2,1,1,PAIRED - ,100
SRR1840514,SRR1840514,wt,zygote,1,1,1,1,PAIRED - ,100
SRR1840515,SRR1840515,wt,zygote,1,2,1,1,PAIRED - ,100
SRR2927029,SRR2927029,wt,early_2cell,1,1,1,1,PAIRED - ,100
SRR2927028,SRR2927028,wt,early_2cell,1,2,1,1,PAIRED - ,100
SRR1840516,SRR1840516,wt,2cell,1,1,1,1,PAIRED - ,100
SRR1840517,SRR1840517,wt,2cell,1,2,1,1,PAIRED - ,100
SRR1840522,SRR1840522,wt,Inner_cell_mass,1,1,1,1,PAIRED - ,100
SRR1840523,SRR1840523,wt,Inner_cell_mass,1,2,1,1,PAIRED - ,100
SRR1840526,SRR1840526,wt,Inner_cell_mass,1,3,1,1,PAIRED - ,100
SRR1840518,SRR1840518,wt,4cell,1,1,1,1,PAIRED - ,100
SRR1840519,SRR1840519,wt,4cell,1,2,1,1,PAIRED - ,100
SRR1840520,SRR1840520,wt,8cell,1,1,1,1,PAIRED - ,100
SRR1840521,SRR1840521,wt,8cell,1,2,1,1,PAIRED - ,100
SRR3083897,SRR3083897,wt,E35_ICM,2,1,1,1,PAIRED - ,100
SRR3083898,SRR3083898,wt,E35_ICM,2,2,1,1,PAIRED - ,100
SRR3083899,SRR3083899,wt,E35_TE,2,1,1,1,PAIRED - ,100
SRR3083900,SRR3083900,wt,E35_TE,2,2,1,1,PAIRED - ,100
SRR3083901,SRR3083901,wt,E40_ICM,2,1,1,1,PAIRED - ,100
SRR3083902,SRR3083902,wt,E40_ICM,2,2,1,1,PAIRED - ,100
SRR3083903_SRR3083904,SRR3083903_SRR3083904,wt,E55_Epi,2,1,1,1_2,PAIRED - ,100
SRR3083905_SRR3083906,SRR3083905_SRR3083906,wt,E55_Epi,2,2,1,1_2,PAIRED - ,100
SRR3083907,SRR3083907,wt,E55_VE,2,1,1,1,PAIRED - ,100
SRR3083908,SRR3083908,wt,E55_VE,2,2,1,1,PAIRED - ,100
SRR3083909,SRR3083909,wt,E65_Epi,2,1,1,1,PAIRED - ,100
SRR3083910,SRR3083910,wt,E65_Epi,2,2,1,1,PAIRED - ,100
SRR3083911_SRR3083912,SRR3083911_SRR3083912,wt,E65_VE,2,1,1,1_2,PAIRED - ,100
SRR3083913,SRR3083913,wt,E65_VE,2,2,1,1,PAIRED - ,100
SRR3083914,SRR3083914,wt,E75_Ecto,2,1,1,1,PAIRED - ,100
SRR3083915,SRR3083915,wt,E75_Ecto,2,2,1,1,PAIRED - ,100
SRR3083916,SRR3083916,wt,E75_PS,2,1,1,1,PAIRED - ,100
SRR3083917,SRR3083917,wt,E75_PS,2,2,1,1,PAIRED - ,100
SRR3083918,SRR3083918,wt,E75_Meso,2,1,1,1,PAIRED - ,100
SRR3083919,SRR3083919,wt,E75_Meso,2,2,1,1,PAIRED - ,100
SRR3083920,SRR3083920,wt,E75_Endo,2,1,1,1,PAIRED - ,100
SRR3083921,SRR3083921,wt,E75_Endo,2,2,1,1,PAIRED - ,100
